, REPARATI INVELITOARE PAVILION ,"Bulevardul Nerva Traian, București 031041, Romania",44.4214348,26.1165005,DELTA TERMO CONSTRUCT 1999 S.R.L.,2015-09-23,,7699.31,EURO,0,16948,45261210-9,DA7322003,UM 0466 BUCURESTI
,REPARATII INVELITOARE PAVILION INTERVENTIE ,"Bulevardul Nerva Traian, București 031041, Romania",44.4214348,26.1164005,DELTA TERMO CONSTRUCT 1999 S.R.L.,2015-09-23,,4703.84,EURO,0,16947,45261200-6,DA7321982,UM 0466 BUCURESTI
, REVIZUIRE INVELITOARE DIN TABLA ,"Bulevardul Nerva Traian, București 031041, Romania",44.4214348,26.1163005,DELTA TERMO CONSTRUCT 1999 S.R.L.,2015-09-23,,2752.06,EURO,0,16947,45261200-6,DA7322013,UM 0466 BUCURESTI
,Saltele judo tatami grosime 4 cm tip puzzle 1x1 m,"Bulevardul Nerva Traian, București 031041, Romania",44.4215348,26.1166005,BUDO BEST S.R.L.,2015-09-08,,2731.56,EURO,0,14710,39143112-4,DA7251591,UM 0466 BUCURESTI
,ACUMULATOR PENTRU MOTOROLA MTP850 LI-ION 3.7V 1900MAH,"Bulevardul Nerva Traian, București 031041, Romania",44.4216348,26.1165005,SPRINTER 2000 S.A.,2015-09-16,,2443.72,EURO,0,12459,32230000-4,DA7292487,UM 0466 BUCURESTI
, Explozor NONEL ,"Bulevardul Nerva Traian, București 031041, Romania",44.4217348,26.1164005,S.C. NITRO NOBEL GROUP S.R.L.,2015-08-17,,2106.76,EURO,0,11632,24615000-8,DA7179525,UM 0466 BUCURESTI
, Spray bottles 50 ml,"Bulevardul Nerva Traian, București 031041, Romania",44.4214348,26.1163005,AMEX IMPORT EXPORT S.R.L.,2015-09-21,,2100.66,EURO,0,13248,33793000-5,DA7313509,UM 0466 BUCURESTI
,"Lucrari de reparatii acoperis, module arhiva si jgheaburi, la sediul Directiei Locale de EvidentaS6","Strada Obcina Mare 2, București 061593, Romania",44.4218322,26.0421413,COMET EXPRES INVEST SRL,2015-07-15,,11512.91,EURO,0,16964,45261910-6,DA7069964,Directia Locala de Evidenta a Persoanelor Sector 6
,Licenta Microsoft Office 2013,"Drumul Taberei 40, București 061391, Romania",44.4232647,26.0372576,CADET PROJECT,2015-07-01,,28040.68,EURO,0,17212,48310000-4,DA7014789,DIRECTIA DE IMPOZITE SI TAXE LOCALE SECTOR 6
,Imprimante multifunctionale,"Drumul Taberei 40, București 061391, Romania",44.4232647,26.0372576,SMART GLOBAL TRADE,2015-09-18,,7059.44,EURO,0,11990,30232110-8,DA7303452,DIRECTIA DE IMPOZITE SI TAXE LOCALE SECTOR 6
,Licenta antivirus Eset Nod 32,"Drumul Taberei 40, București 061391, Romania",44.4232647,26.0372576,CADET PROJECT,2015-07-01,,6795.58,EURO,0,17304,48761000-0,DA7014871,DIRECTIA DE IMPOZITE SI TAXE LOCALE SECTOR 6
,UPS Online HF LCD 10KVA ,"Drumul Taberei 40, București 061391, Romania",44.4232647,26.0372576,SMART GLOBAL TRADE,2015-09-22,,5460.22,EURO,0,12121,31154000-0,DA7315374,DIRECTIA DE IMPOZITE SI TAXE LOCALE SECTOR 6
,Modul de consultare a bazei de date-serviciu on-line de transfer incasari impozite si taxe locale ,"Drumul Taberei 40, București 061391, Romania",44.4232647,26.0372576,INTEGRISOFT SOLUTIONS S.R.L.,2015-08-21,,4013.6,EURO,0,17282,48611000-4,DA7191450,DIRECTIA DE IMPOZITE SI TAXE LOCALE SECTOR 6
,Statie de lucru ,"Drumul Taberei 40, București 061391, Romania",44.4232647,26.0372576,SMART GLOBAL TRADE,2015-07-02,,3155.42,EURO,0,11963,30213000-5,DA7015448,DIRECTIA DE IMPOZITE SI TAXE LOCALE SECTOR 6
,Aparat de aer conditionat 24000 BTU,"Drumul Taberei 40, București 061391, Romania",44.4232647,26.0372576,SMART GLOBAL TRADE,2015-09-17,,2350.87,EURO,0,15073,39717200-3,DA7296761,DIRECTIA DE IMPOZITE SI TAXE LOCALE SECTOR 6
, Statie de lucru AIO Theon cu WIn 7,"B-dul Libertăţii nr. 12A, sector 5, Bucureşti",44.424386,26.090635,PRO SYS S.R.L.,2015-08-24,,3422.12,EURO,0,11966,30213300-8,DA7197263,Administratia Nationala a Rezervelor de Stat si Probleme Speciale - Unitatea Teritoriala 515 Bucuresti
,Lucrari de reparatii drumuri si alei in incinta si refacere canalizare,"Strada Sfânta Ecaterina, București, Romania",44.424757,26.101302,ELEKTRO KENNER SRL,2015-07-27,,99518.19,EURO,0,16726,45233142-6,DA7107063,ADMINISTRATIA SPITALELOR SI SERVICIILOR MEDICALE BUCURESTI
,REEVALUAREA/EVALUARE ACTIVELOR CORPORALE FIXE CLADIRI -IMOBILE PRINCIPALE CU SPECIFIC MEDICAL,"Strada Sfânta Ecaterina, București, Romania",44.424757,26.101302,Marin C. Anca-Ioana PFA,2015-09-02,,19798.74,EURO,0,18793,79419000-4,DA7237068,ADMINISTRATIA SPITALELOR SI SERVICIILOR MEDICALE BUCURESTI
,Servicii de distributie a apei potabile pe perioada caniculei,"Strada Sfânta Ecaterina, București, Romania",44.424757,26.101302,SELROM TRADING COMPANY S.R.L.,2015-07-06,,18564,EURO,0,19370,98000000-3,DA7025526,ADMINISTRATIA SPITALELOR SI SERVICIILOR MEDICALE BUCURESTI
,servicii diverse de administrare si intretinere puncte de prim ajutor,"Strada Sfânta Ecaterina, București, Romania",44.424757,26.101302,STAR LUISSE TOTAL SERV SRL-D,2015-07-06,,13833.42,EURO,0,19385,98300000-6,DA7028170,ADMINISTRATIA SPITALELOR SI SERVICIILOR MEDICALE BUCURESTI
,SERVICII DE REPARARE SI INTRETINERE APARATURA MEDICALA,"Strada Sfânta Ecaterina, București, Romania",44.424757,26.101302,DAMIRO COMAT S.R.L.,2015-09-11,,10311.62,EURO,0,17524,50421000-2,DA7276550,ADMINISTRATIA SPITALELOR SI SERVICIILOR MEDICALE BUCURESTI
